CURSOS,2010,2011,2012,2013
ESTÉTICA E COSMÉTICA,519,0,480,519
ESTÉTICA E IMAGEM PESSOAL,7,0,0,7
FABRICAÇÃO MECÂNICA,0,54,20,0
FARMÁCIA,1241,989,1055,1241
FILOSOFIA,259,286,237,259
FÍSICA,360,420,360,360
FISIOTERAPIA,2140,1260,1703,2140
FONOAUDIOLOGIA,283,200,276,283
GASTRONOMIA,1033,777,878,1033
GEOFISICA,134,134,124,134
GEOGRAFIA,486,590,560,486
GEOLOGIA,162,173,163,162
GESTÃO AMBIENTAL,344,388,335,344
GESTÃO COMERCIAL,875,406,684,875
GESTÃO DA PRODUÇÃO INDUSTRIAL,4,7,6,4
GESTÃO DA QUALIDADE,37,14,58,37
GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,129,87,104,129
GESTÃO DE COOPERATIVAS,49,0,0,49
GESTÃO DE MICRO E PEQUENAS EMPRESAS,0,1,0,0
GESTÃO DE POLÍTICAS PÚBLICAS,401,299,357,401
GESTÃO DE RECURSOS HUMANOS,2246,1476,2005,2246
GESTÃO DE SEGURANÇA PRIVADA,72,145,66,72
GESTÃO DE SEGURANÇA PÚBLICA,7,12,12,7
GESTÃO DE SISTEMAS DE INFORMAÇÃO,0,11,0,0
GESTÃO DE TURISMO,5,0,4,5
GESTÃO DESPORTIVA E DE LAZER,105,86,88,105
GESTÃO E MARKETING DE PEQUENAS E MÉDIAS EMPRESAS,14,18,18,14
GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE,154,115,153,154
GESTÃO FINANCEIRA,359,423,421,359
GESTÃO HOSPITALAR,391,197,310,391
GESTÃO PÚBLICA,600,588,588,600
HISTÓRIA,795,762,764,795
HOTELARIA,8,80,67,8
INFORMÁTICA,78,67,89,78
JORNALISMO,103,120,130,103
LETRAS,2,0,0,2
LETRAS - ESPANHOL,153,241,313,153
LETRAS - FRANCÊS,0,102,64,0
LETRAS - INGLÊS,23,246,324,23
LETRAS - LIBRAS,0,47,46,0
LETRAS - LÍNGUA E LITERATURAS DA LÍNGUA INGLESA,0,76,0,0
LETRAS - LINGUA ESPANHOLA,165,0,0,165
LETRAS - LÍNGUA FRANCESA E LITERATURA,68,0,0,68
LETRAS - LÍNGUA INGLESA E RESPECTIVAS LITERATURAS,88,0,0,88
LETRAS - LÍNGUA PORTUGUESA,744,262,381,744
LETRAS - LÍNGUA PORTUGUESA E LIBRAS,39,0,0,39
LETRAS - PORTUGUÊS,2,1,1,2
LETRAS - PORTUGUÊS E ESPANHOL,3,4,4,3
LETRAS - PORTUGUÊS E INGLÊS,250,9,10,250
LETRAS - PORTUGUÊS E LITERATURA,0,349,337,0
LOGÍSTICA,82,129,139,82
MARKETING,818,677,889,818
MATEMÁTICA,480,517,451,480
MEDICINA,1516,1365,1498,1516
MÚSICA,184,159,270,184
MÚSICA - CANTO,11,13,0,11
MÚSICA - INSTRUMENTO,93,96,0,93
NEGÓCIOS IMOBILIÁRIOS,20,45,20,20
NUTRIÇÃO,1823,1310,1484,1823
ODONTOLOGIA,1287,943,1154,1287
PEDAGOGIA,3407,2926,3446,3407
PETRÓLEO E GÁS,451,556,567,451
PROCESSOS GERENCIAIS,42,103,50,42
PRODUÇÃO CULTURAL,101,68,96,101
PRODUÇÃO MULTIMÍDIA,1,0,0,1
PROGRAMA ESPECIAL DE FORMAÇÃO PEDAGÓGICA PARA FORMADORES DE EDUCAÇÃO PROFISSIONAL,0,5,0,0
PSICOLOGIA,2596,1705,2142,2596
PUBLICIDADE E PROPAGANDA,0,328,357,0
PUBLICIDADE E PROPAGANDA - PUBLICIDADE E PROPAGANDA,0,315,0,0
QUÍMICA,458,572,446,458
QUÍMICA DO PETRÓLEO,183,161,174,183
REDES DE COMPUTADORES,644,659,660,644
RELAÇÕES INTERNACIONAIS,296,207,293,296
SECRETARIADO,59,120,113,59
SEGURANÇA NO TRABALHO,549,406,591,549
SEGURANÇA NO TRÂNSITO,2,1,3,2
SEGURANÇA PÚBLICA,14,0,0,14
SERVIÇO SOCIAL,2572,2012,2351,2572
SERVIÇOS PENAIS,0,1,0,0
SISTEMA DE INFORMAÇÃO,127,125,128,127
SISTEMAS DE INFORMAÇÃO,339,330,364,339
SISTEMAS PARA INTERNET,0,38,19,0
TEATRO,134,99,113,134
TECNOLOGIA DA INFORMAÇÃO,133,0,0,133
TEOLOGIA,106,64,90,106
TERAPIA OCUPACIONAL,44,74,64,44
TURISMO,749,1049,900,749
TURISMO - GESTÃO HOTELEIRA,0,3,1,0
WEB DESIGN E PROGRAMAÇÃO,0,3,1,0
ZOOTECNIA,34,130,65,34
